"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014706","GO:0014706","striated muscle tissue development","12/171","500/23189",0.024,3.25459649122807,4.39280636094606,0.000352324030212795,0.0173586377771094,0.0153242752979382,"Mcub/Tnnt2/Chrna1/Egr1/Col14a1/Hdac9/Megf10/Sgcg/Sema3c/Speg/Tgfb1/Bin3",12
"GO:0051216","GO:0051216","cartilage development","8/171","234/23189",0.0341880341880342,4.63617733793172,4.81848203512015,0.000357782868184913,0.0173586377771094,0.0153242752979382,"Wnt9a/Matn3/Ecm1/Tgfb1/Hmga2/Nfatc2/Slc39a14/Ccn2",8
"GO:0032963","GO:0032963","collagen metabolic process","6/171","127/23189",0.047244094488189,6.40668600635447,5.26599489054454,0.000364593912237133,0.0173892757463609,0.0153513226205109,"Il6ra/Ctsb/Tgfb1/Retreg1/Rapgef3/Ccn2",6
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","11/171","431/23189",0.0255220417633411,3.46099781549775,4.44507123216144,0.000371895021725068,0.0174418765189057,0.0153977587942309,"Oas1g/Oas1a/Irf7/Rigi/Trim12a/Trim12c/Gbp3/Gbp7/Lgals9/Irgm1/Pspc1",11
"GO:0032602","GO:0032602","chemokine production","6/171","128/23189",0.046875,6.35663377192982,5.23785872125097,0.000380219614341057,0.0175399671271432,0.0154843535779965,"Oas1g/Oas1a/Egr1/Il6ra/Tgfb1/Lgals9",6
"GO:0001960","GO:0001960","negative regulation of cytokine-mediated signaling pathway","5/171","87/23189",0.0574712643678161,7.7935739732473,5.47178536364035,0.000466490433183777,0.0208580907077815,0.018413606430391,"Oas1g/Oas1a/Isg15/Ecm1/Naip2",5
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","4/171","49/23189",0.0816326530612245,11.0700560926125,6.08196841703176,0.000466972180024958,0.0208580907077815,0.018413606430391,"Oas1g/Oas1a/Isg15/Irf7",4
"GO:0014812","GO:0014812","muscle cell migration","6/171","137/23189",0.0437956204379562,5.93904469202203,4.99740839805182,0.000545663978432049,0.0239921630516841,0.0211803781101914,"Egr1/Itgb3/Megf10/Rapgef3/Bin3/Plat",6
"GO:0060761","GO:0060761","negative regulation of response to cytokine stimulus","5/171","91/23189",0.0549450549450549,7.45099929310456,5.31442656271215,0.000573395298309277,0.0248236056837278,0.021914379012306,"Oas1g/Oas1a/Isg15/Ecm1/Naip2",5
"GO:0046596","GO:0046596","regulation of viral entry into host cell","4/171","54/23189",0.0740740740740741,10.0450508988521,5.7354705122202,0.000677358378855009,0.0288800981529999,0.0254954668915123,"Trim12a/Trim12c/Ifitm3/Trim34a",4
"GO:0007517","GO:0007517","muscle organ development","10/171","394/23189",0.0253807106598985,3.44183216077419,4.21347120464598,0.000715566251491816,0.029611815172029,0.0261414296210633,"Mcub/Tnnt2/Chrna1/Egr1/Hdac9/Megf10/Tgfb1/Mylk/Id3/Bin3",10
"GO:0042060","GO:0042060","wound healing","10/171","394/23189",0.0253807106598985,3.44183216077419,4.21347120464598,0.000715566251491816,0.029611815172029,0.0261414296210633,"Itgb3/Nfatc1/Il6ra/Cd109/Mylk/Arhgef19/Pla2g4a/Myof/Procr/Plat",10
"GO:0032965","GO:0032965","regulation of collagen biosynthetic process","4/171","55/23189",0.0727272727272727,9.86241360978203,5.6715779063056,0.00072632027937316,0.0296212357413923,0.0261497461376149,"Il6ra/Tgfb1/Rapgef3/Ccn2",4
"GO:0006816","GO:0006816","calcium ion transport","11/171","469/23189",0.023454157782516,3.18057581765359,4.11196450878657,0.000749239817278045,0.0301194406545774,0.0265895634402434,"Lgals3/Cacna2d3/Mcub/Trpm1/Itgb3/Nfatc1/Slc24a4/Tgfb1/Mylk/Rapgef3/Ccn2",11
"GO:0051592","GO:0051592","response to calcium ion","6/171","149/23189",0.0402684563758389,5.46073236783233,4.70818991264927,0.000847629875772715,0.0335947953580904,0.0296576205607651,"Tnnt2/Nfatc1/Mylk/Pla2g4a/Cpne4/Nfatc2",6
"GO:0045591","GO:0045591","positive regulation of regulatory T cell differentiation","3/171","26/23189",0.115384615384615,15.6470985155196,6.44075502749836,0.00090424304436741,0.0353408323173596,0.0311990290161855,"Dusp10/Tgfb1/Lgals9",3
"GO:0052372","GO:0052372","modulation by symbiont of entry into host","4/171","59/23189",0.0677966101694915,9.19377539894935,5.43147960196367,0.000947348160513441,0.0365183249819839,0.0322385242799095,"Trim12a/Trim12c/Ifitm3/Trim34a",4
"GO:0055002","GO:0055002","striated muscle cell development","7/171","214/23189",0.0327102803738318,4.43578182215664,4.35211750359344,0.00108037076341331,0.0410832882195276,0.0362684921999346,"Myom3/Tnnt2/Col14a1/Hdac9/Speg/Nfatc2/Bin3",7
"GO:0032727","GO:0032727","positive regulation of interferon-alpha production","3/171","28/23189",0.107142857142857,14.5294486215539,6.17413851194544,0.00112709385096947,0.0417321328503697,0.0368412948516338,"Irf7/Rigi/Stat1",3
"GO:2000647","GO:2000647","negative regulation of stem cell proliferation","3/171","28/23189",0.107142857142857,14.5294486215539,6.17413851194544,0.00112709385096947,0.0417321328503697,0.0368412948516338,"Nfatc1/Cd109/Irgm1",3
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","6/171","158/23189",0.0379746835443038,5.14967799244948,4.51109996986353,0.00114823016014251,0.041962593125208,0.0370447461098608,"Itgb3/Mgll/Slc24a4/Kctd12/Rph3al/Slc39a14",6
"GO:0072091","GO:0072091","regulation of stem cell proliferation","5/171","107/23189",0.0467289719626168,6.33683117450948,4.76907929225323,0.0011926455708455,0.0429089973662206,0.0378802355830923,"Nfatc1/Cd109/Tgfb1/Hmga2/Irgm1",5
"GO:0010712","GO:0010712","regulation of collagen metabolic process","4/171","63/23189",0.0634920634920635,8.61004362758749,5.21318418150531,0.00121189031168533,0.0429089973662206,0.0378802355830923,"Il6ra/Tgfb1/Rapgef3/Ccn2",4
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","10/171","424/23189",0.0235849056603774,3.19830630034205,3.93761466435893,0.00124524017424427,0.0429089973662206,0.0378802355830923,"Oas1g/Oas1a/Isg15/Dusp10/St6gal1/Cd109/Tgfb1/Lgals9/Irgm1/Plat",10
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","3/171","29/23189",0.103448275862069,14.0284331518451,6.05086994634663,0.00125036879318766,0.0429089973662206,0.0378802355830923,"Oas1g/Oas1a/Tgfb1",3
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","3/171","29/23189",0.103448275862069,14.0284331518451,6.05086994634663,0.00125036879318766,0.0429089973662206,0.0378802355830923,"Oas1g/Oas1a/Tgfb1",3
"GO:0050777","GO:0050777","negative regulation of immune response","7/171","222/23189",0.0315315315315315,4.27593382856541,4.22722516136353,0.00133499868191011,0.0446945598944345,0.039456537369867,"Lgals3/Oas1g/Oas1a/Isg15/Dusp10/Tgfb1/Lgals9",7
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","10/171","429/23189",0.0233100233100233,3.16103000313527,3.8940293626301,0.00135866811974473,0.0446945598944345,0.039456537369867,"Dusp10/Ecm1/Ppp1r16b/Itgb3/Nfatc1/Stat1/Cd109/Tgfb1/Hmga2/Pold4",10
"GO:0007519","GO:0007519","skeletal muscle tissue development","7/171","223/23189",0.031390134529148,4.25675923740592,4.21202861636829,0.00136986848623728,0.0446945598944345,0.039456537369867,"Mcub/Chrna1/Egr1/Hdac9/Megf10/Tgfb1/Bin3",7
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","3/171","30/23189",0.1,13.5608187134503,5.93354966420564,0.00138181475153369,0.0446945598944345,0.039456537369867,"Oas1g/Oas1a/Isg15",3
"GO:0072012","GO:0072012","glomerulus vasculature development","3/171","30/23189",0.1,13.5608187134503,5.93354966420564,0.00138181475153369,0.0446945598944345,0.039456537369867,"Egr1/Itgb3/Il6ra",3
"GO:0032964","GO:0032964","collagen biosynthetic process","4/171","66/23189",0.0606060606060606,8.21867800815169,5.06178222886855,0.0014414388328489,0.0460932826776909,0.040691335472768,"Il6ra/Tgfb1/Rapgef3/Ccn2",4
"GO:0043032","GO:0043032","positive regulation of macrophage activation","3/171","31/23189",0.0967741935483871,13.1233729485003,5.82169830918519,0.00152162806207943,0.0481108018729384,0.0424724095388227,"Lgals9/Pla2g4a/Irgm1",3
"GO:0051146","GO:0051146","striated muscle cell differentiation","9/171","363/23189",0.0247933884297521,3.36218645788024,3.90974551080964,0.00154485526009455,0.048302474465623,0.0426416188751244,"Myom3/Dock2/Tnnt2/Col14a1/Hdac9/Speg/Tgfb1/Nfatc2/Bin3",9
"GO:0042116","GO:0042116","macrophage activation","5/171","115/23189",0.0434782608695652,5.89600813628274,4.53654804885951,0.00164253887257088,0.0505309508679839,0.0446089268127192,"Mcub/Sphk1/Lgals9/Pla2g4a/Irgm1",5
"GO:0061437","GO:0061437","renal system vasculature development","3/171","32/23189",0.09375,12.7132675438596,5.714889172965,0.00166999944233209,0.0505309508679839,0.0446089268127192,"Egr1/Itgb3/Il6ra",3
"GO:0061440","GO:0061440","kidney vasculature development","3/171","32/23189",0.09375,12.7132675438596,5.714889172965,0.00166999944233209,0.0505309508679839,0.0446089268127192,"Egr1/Itgb3/Il6ra",3
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction","4/171","69/23189",0.0579710144927536,7.86134418171031,4.91966741194558,0.00169968600727745,0.0508820896221142,0.0449189135181946,"Trim12a/Trim12c/Ifitm3/Trim34a",4
"GO:0032647","GO:0032647","regulation of interferon-alpha production","3/171","33/23189",0.0909090909090909,12.3280170122275,5.61274097515645,0.00182711407885684,0.0535572814364911,0.047280583619541,"Irf7/Rigi/Stat1",3
"GO:0035455","GO:0035455","response to interferon-alpha","3/171","33/23189",0.0909090909090909,12.3280170122275,5.61274097515645,0.00182711407885684,0.0535572814364911,0.047280583619541,"Oas1g/Oas1a/Ifitm3",3
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","5/171","120/23189",0.0416666666666667,5.65034113060429,4.40207014813187,0.0019804712921045,0.0566538275017084,0.0500142269494751,"Oas1g/Oas1a/Rigi/Tgfb1/Lgals9",5
"GO:0060538","GO:0060538","skeletal muscle organ development","7/171","238/23189",0.0294117647058824,3.98847609219126,3.99423272961613,0.00198355543475678,0.0566538275017084,0.0500142269494751,"Mcub/Chrna1/Egr1/Hdac9/Megf10/Tgfb1/Bin3",7
"GO:0046597","GO:0046597","negative regulation of viral entry into host cell","3/171","34/23189",0.0882352941176471,11.9654282765738,5.51491181850363,0.00199315171381277,0.0566538275017084,0.0500142269494751,"Trim12a/Trim12c/Ifitm3",3
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","5/171","122/23189",0.040983606557377,5.55771258747963,4.35038006849112,0.00212892941655964,0.0593149245366221,0.0523634541227801,"Egr1/Itgb3/Il6ra/Stat1/Tgfb1",5
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","5/171","122/23189",0.040983606557377,5.55771258747963,4.35038006849112,0.00212892941655964,0.0593149245366221,0.0523634541227801,"Oas1g/Oas1a/Rigi/Tgfb1/Lgals9",5
"GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","3/171","35/23189",0.0857142857142857,11.6235588972431,5.42109409968075,0.00216828673041405,0.0598192045037758,0.0528086345075042,"Stat1/Rapgef3/Nfatc2",3
"GO:0019835","GO:0019835","cytolysis","2/171","10/23189",0.2,27.1216374269006,7.12113071157392,0.00234004085235295,0.0624572141494457,0.0551374800406583,"Gbp3/Gbp7",2
"GO:0052803","GO:0052803","imidazole-containing compound metabolic process","2/171","10/23189",0.2,27.1216374269006,7.12113071157392,0.00234004085235295,0.0624572141494457,0.0551374800406583,"Mthfd2l/Uroc1",2
"GO:0097503","GO:0097503","sialylation","2/171","10/23189",0.2,27.1216374269006,7.12113071157392,0.00234004085235295,0.0624572141494457,0.0551374800406583,"St6gal1/St3gal1",2
"GO:0032607","GO:0032607","interferon-alpha production","3/171","36/23189",0.0833333333333333,11.3006822612086,5.33101020206671,0.00235268823732809,0.0624572141494457,0.0551374800406583,"Irf7/Rigi/Stat1",3
